#
# Executing : PSPMdemo("Medfly", c(2, 11, 0.1, 11, 16), NULL, NULL)
#
# Parameter values  : 
#
# 	Beta0     :  47           	Beta1     :  0.04         	AJ        :  11           
# 	Mu0       :  0.00095      	Mu1       :  0.0581       
#
# Index and name of bifurcation parameter #1                   :  2 (AJ)
#
#           1:AJ        2:PGR[0]         3:Tc[0]       4:S[0][0]       5:S[0][1]       6:S[0][2]       7:S[0][3]       8:S[0][4]
     11.00000000      0.41905662     13.16725978      0.00161586     -0.16459366     -0.03198198     -1.52635956     -0.01132532
     11.10000000      0.41588425     13.28217597      0.00160188     -0.16429263     -0.03146749     -1.53232380     -0.01148047
     11.20000000      0.41276268     13.39705294      0.00158815     -0.16399431     -0.03096572     -1.53831522     -0.01163686
     11.30000000      0.40969068     13.51189097      0.00157465     -0.16369866     -0.03047624     -1.54433395     -0.01179449
     11.40000000      0.40666703     13.62669032      0.00156138     -0.16340561     -0.02999865     -1.55038012     -0.01195336
     11.50000000      0.40369056     13.74145128      0.00154834     -0.16311513     -0.02953256     -1.55645387     -0.01211349
     11.60000000      0.40076013     13.85617410      0.00153552     -0.16282715     -0.02907761     -1.56255531     -0.01227489
     11.70000000      0.39787466     13.97085904      0.00152292     -0.16254163     -0.02863342     -1.56868460     -0.01243756
     11.80000000      0.39503309     14.08550635      0.00151052     -0.16225853     -0.02819967     -1.57484186     -0.01260173
     11.90000000      0.39223438     14.20011628      0.00149833     -0.16197779     -0.02777602     -1.58103062     -0.01276699
     12.00000000      0.38947755     14.31468908      0.00148634     -0.16169937     -0.02736216     -1.58724742     -0.01293374
     12.10000000      0.38676162     14.42922498      0.00147454     -0.16142322     -0.02695779     -1.59349231     -0.01310179
     12.20000000      0.38408567     14.54372421      0.00146293     -0.16114931     -0.02656260     -1.59976558     -0.01327115
     12.30000000      0.38144880     14.65818700      0.00145151     -0.16087759     -0.02617633     -1.60606729     -0.01344181
     12.40000000      0.37885011     14.77261356      0.00144026     -0.16060803     -0.02579869     -1.61239770     -0.01361380
     12.50000000      0.37628877     14.88700409      0.00142920     -0.16034057     -0.02542944     -1.61875702     -0.01378713
     12.60000000      0.37376394     15.00135882      0.00141830     -0.16007518     -0.02506832     -1.62514538     -0.01396181
     12.70000000      0.37127483     15.11567791      0.00140758     -0.15981183     -0.02471509     -1.63156283     -0.01413784
     12.80000000      0.36882066     15.22996157      0.00139701     -0.15955048     -0.02436952     -1.63800971     -0.01431525
     12.90000000      0.36640067     15.34421004      0.00138661     -0.15929110     -0.02403139     -1.64448612     -0.01449404
     13.00000000      0.36401413     15.45842344      0.00137637     -0.15903364     -0.02370048     -1.65099237     -0.01467422
     13.10000000      0.36166033     15.57260198      0.00136628     -0.15877807     -0.02337659     -1.65752848     -0.01485581
     13.20000000      0.35933857     15.68674585      0.00135633     -0.15852437     -0.02305951     -1.66409468     -0.01503881
     13.30000000      0.35704820     15.80085521      0.00134654     -0.15827249     -0.02274906     -1.67069114     -0.01522324
     13.40000000      0.35478854     15.91493027      0.00133689     -0.15802241     -0.02244504     -1.67731806     -0.01540911
     13.50000000      0.35255897     16.02897122      0.00132738     -0.15777410     -0.02214728     -1.68397557     -0.01559643
     13.60000000      0.35035887     16.14297820      0.00131800     -0.15752752     -0.02185561     -1.69066385     -0.01578521
     13.70000000      0.34818764     16.25695137      0.00130876     -0.15728265     -0.02156985     -1.69738310     -0.01597547
     13.80000000      0.34604470     16.37089088      0.00129965     -0.15703945     -0.02128985     -1.70413345     -0.01616721
     13.90000000      0.34392948     16.48479689      0.00129067     -0.15679790     -0.02101546     -1.71091514     -0.01636044
     14.00000000      0.34184142     16.59866955      0.00128182     -0.15655798     -0.02074651     -1.71772825     -0.01655518
     14.10000000      0.33977999     16.71250902      0.00127309     -0.15631965     -0.02048287     -1.72457307     -0.01675144
     14.20000000      0.33774467     16.82631544      0.00126448     -0.15608289     -0.02022439     -1.73144962     -0.01694923
     14.30000000      0.33573494     16.94008896      0.00125598     -0.15584767     -0.01997095     -1.73835818     -0.01714856
     14.40000000      0.33375031     17.05382973      0.00124761     -0.15561397     -0.01972240     -1.74529889     -0.01734944
     14.50000000      0.33179029     17.16753790      0.00123934     -0.15538176     -0.01947862     -1.75227192     -0.01755188
     14.60000000      0.32985442     17.28121361      0.00123119     -0.15515102     -0.01923949     -1.75927743     -0.01775590
     14.70000000      0.32794223     17.39485700      0.00122315     -0.15492173     -0.01900489     -1.76631563     -0.01796151
     14.80000000      0.32605329     17.50846819      0.00121521     -0.15469385     -0.01877471     -1.77338660     -0.01816872
     14.90000000      0.32418714     17.62204734      0.00120738     -0.15446738     -0.01854882     -1.78049053     -0.01837753
     15.00000000      0.32234337     17.73559455      0.00119965     -0.15424228     -0.01832713     -1.78762778     -0.01858796
     15.10000000      0.32052157     17.84910996      0.00119202     -0.15401854     -0.01810953     -1.79479824     -0.01880003
     15.20000000      0.31872133     17.96259368      0.00118449     -0.15379614     -0.01789592     -1.80200225     -0.01901374
     15.30000000      0.31694225     18.07604582      0.00117705     -0.15357504     -0.01768620     -1.80923984     -0.01922910
     15.40000000      0.31518395     18.18946648      0.00116971     -0.15335524     -0.01748028     -1.81651140     -0.01944613
     15.50000000      0.31344606     18.30285577      0.00116247     -0.15313671     -0.01727806     -1.82381689     -0.01966483
     15.60000000      0.31172821     18.41621380      0.00115531     -0.15291944     -0.01707945     -1.83115645     -0.01988523
     15.70000000      0.31003005     18.52954066      0.00114825     -0.15270340     -0.01688437     -1.83853058     -0.02010733
     15.80000000      0.30835122     18.64283647      0.00114127     -0.15248857     -0.01669274     -1.84593901     -0.02033114
     15.90000000      0.30669138     18.75610134      0.00113438     -0.15227494     -0.01650447     -1.85338223     -0.02055667
     16.00000000      0.30505021     18.86933534      0.00112757     -0.15206249     -0.01631947     -1.86086020     -0.02078394
